Source,CH1,CH2
Second,Value,Value
-1.768000E-07,-1.600000E-01,+1.192093E-07
-1.748000E-07,-1.600000E-01,+1.192093E-07
-1.728000E-07,-1.600000E-01,+1.192093E-07
-1.708000E-07,-1.600000E-01,+1.192093E-07
-1.688000E-07,-1.600000E-01,+1.192093E-07
-1.668000E-07,-1.600000E-01,+1.192093E-07
-1.648000E-07,-1.600000E-01,+1.192093E-07
-1.628000E-07,-1.600000E-01,+1.192093E-07
-1.608000E-07,-1.600000E-01,+1.192093E-07
-1.588000E-07,-1.600000E-01,+1.192093E-07
-1.568000E-07,-1.600000E-01,+1.192093E-07
-1.548000E-07,-1.600000E-01,+1.192093E-07
-1.528000E-07,-1.600000E-01,+1.192093E-07
-1.508000E-07,-1.600000E-01,+1.192093E-07
-1.488000E-07,-1.600000E-01,+1.192093E-07
-1.468000E-07,-1.600000E-01,+1.192093E-07
-1.448000E-07,-1.600000E-01,+1.192093E-07
-1.428000E-07,-1.600000E-01,+1.192093E-07
-1.408000E-07,-1.600000E-01,+1.192093E-07
-1.388000E-07,-1.600000E-01,+1.192093E-07
-1.368000E-07,-1.600000E-01,+1.192093E-07
-1.348000E-07,-1.600000E-01,+1.192093E-07
-1.328000E-07,-1.600000E-01,-7.999992E-02
-1.308000E-07,-8.000000E-02,+1.192093E-07
-1.288000E-07,-1.600000E-01,+1.192093E-07
-1.268000E-07,-1.600000E-01,+1.192093E-07
-1.248000E-07,-1.600000E-01,+1.192093E-07
-1.228000E-07,-1.600000E-01,+1.192093E-07
-1.208000E-07,-1.600000E-01,+1.192093E-07
-1.188000E-07,-1.600000E-01,+1.192093E-07
-1.168000E-07,-1.600000E-01,+1.192093E-07
-1.148000E-07,-1.600000E-01,+1.192093E-07
-1.128000E-07,-1.600000E-01,+1.192093E-07
-1.108000E-07,-1.600000E-01,+1.192093E-07
-1.088000E-07,-1.600000E-01,+1.192093E-07
-1.068000E-07,-1.600000E-01,+1.192093E-07
-1.048000E-07,-1.600000E-01,+1.192093E-07
-1.028000E-07,-1.600000E-01,+1.192093E-07
-1.008000E-07,-1.600000E-01,+1.192093E-07
-9.880000E-08,-1.600000E-01,+1.192093E-07
-9.680000E-08,-1.600000E-01,+1.192093E-07
-9.480000E-08,-1.600000E-01,+1.192093E-07
-9.280000E-08,-1.600000E-01,+1.192093E-07
-9.080000E-08,-1.600000E-01,+1.192093E-07
-8.880000E-08,-1.600000E-01,+1.192093E-07
